7745756, 04-01 11:03:24.010,10,362733,0,388853,1,61204
7745757, 04-01 11:03:24.021,9,236012,0,-404024,0,435248
7745758, 04-01 11:03:24.032,8,568325,0,-237103,0,435248
7745759, 04-01 11:03:24.044,9,945429,0,-570946,0,560439
7745760, 04-01 11:03:24.055,8,568325,-1,-572475,0,-274169
7745761, 04-01 11:03:24.066,9,152551,-2,-240162,0,-649742
7745762, 04-01 11:03:24.077,8,943899,-2,-198432,0,101404
7745763, 04-01 11:03:24.089,9,361203,-3,-283423,0,894282
7745764, 04-01 11:03:24.100,9,736777,-2,-866119,0,101404
7745765, 04-01 11:03:24.111,9,152551,-2,-240162,0,769091
7745766, 04-01 11:03:24.123,9,69090,-2,-949579,1,770621
7745767, 04-01 11:03:24.134,9,277742,-1,-948049,1,102934
7745768, 04-01 11:03:24.145,8,735247,-2,-824388,1,895812
7745769, 04-01 11:03:24.157,9,569855,-2,-657466,1,770621
7745770, 04-01 11:03:24.168,8,735247,-2,-907849,2,480038
7745771, 04-01 11:03:24.179,9,569855,-3,-325153,2,480038
7745772, 04-01 11:03:24.191,10,237542,-2,-198432,0,560439
7745773, 04-01 11:03:24.202,9,361203,-1,-739397,0,852552
7745774, 04-01 11:03:24.213,10,613116,-1,-614206,0,101404
7745775, 04-01 11:03:24.224,10,237542,-2,-657466,1,228126
7745776, 04-01 11:03:24.236,10,279272,-2,-866119,0,685630
7745777, 04-01 11:03:24.247,10,821768,-2,-782658,0,351787
7745778, 04-01 11:03:24.258,10,321003,-2,-782658,0,268326
7745779, 04-01 11:03:24.270,10,487924,-2,-782658,0,-274169
7745780, 04-01 11:03:24.281,10,821768,-3,-450344,0,-482821
7745781, 04-01 11:03:24.292,11,447724,-3,-784188,0,-566282
7745782, 04-01 11:03:24.303,11,823298,-3,-784188,0,-983586
7745783, 04-01 11:03:24.315,11,823298,-3,-784188,0,-983586
7745784, 04-01 11:03:24.326,11,823298,-3,-700727,0,-566282
7745785, 04-01 11:03:24.337,11,823298,-3,-617266,0,-983586
7745786, 04-01 11:03:24.349,11,823298,-2,-240162,-1,-609542
7745787, 04-01 11:03:24.360,11,781568,-3,-867649,-1,-275699
7745788, 04-01 11:03:24.371,11,823298,-2,-824388,-1,-943386
7745789, 04-01 11:03:24.382,11,823298,-2,-824388,-1,-734734
7745790, 04-01 11:03:24.394,11,447724,-3,-116501,-2,-277229
7745791, 04-01 11:03:24.405,10,988690,-2,-782658,-2,-277229
7745792, 04-01 11:03:24.416,10,988690,-2,-782658,-2,-110307
7745793, 04-01 11:03:24.427,10,988690,-2,-824388,-2,-277229
7745794, 04-01 11:03:24.439,10,821768,-2,-824388,-1,-901655
7745795, 04-01 11:03:24.450,10,988690,-2,-240162,-2,-318960
7745796, 04-01 11:03:24.461,10,988690,-2,-782658,-2,-318960
7745797, 04-01 11:03:24.472,10,571385,-2,-240162,-1,-567812
7745798, 04-01 11:03:24.484,10,487924,-2,-782658,-1,-985116
7745799, 04-01 11:03:24.495,10,404464,-2,-782658,-1,-651273
7745800, 04-01 11:03:24.506,10,154081,-2,-448814,-1,-317429
7745801, 04-01 11:03:24.517,9,653316,-2,-114971,0,-566282
7745802, 04-01 11:03:24.529,8,985629,-1,-447284,0,-983586
7745803, 04-01 11:03:24.540,8,818707,-2,-281893,0,-441090
7745804, 04-01 11:03:24.551,8,818707,-1,-447284,0,-566282
7745805, 04-01 11:03:24.562,9,69090,0,-779598,0,-941855
7745806, 04-01 11:03:24.573,9,653316,-1,-447284,0,-566282
7745807, 04-01 11:03:24.585,10,112351,-2,-448814,0,-983586
7745808, 04-01 11:03:24.596,10,321003,-2,-281893,-1,-317429
7745809, 04-01 11:03:24.607,9,236012,-2,-240162,0,-900125
7745810, 04-01 11:03:24.619,9,736777,-3,-533805,0,17943
