1, 07-31 16:41:13.235,  -1, -792878,  10, -792878,   0, -792878
2, 07-31 16:41:13.238,  -2, -377104,  11, -377104,   0, -377104
3, 07-31 16:41:13.249,  -2,  -43260,  10,  -43260,   0,  -43260
4, 07-31 16:41:13.260,  -2, -460563,  10, -460563,   0, -460563
5, 07-31 16:41:13.271,  -1, -751147,  10, -751147,   1, -751147
6, 07-31 16:41:13.282,  -2, -377104,  10, -377104,   1, -377104
7, 07-31 16:41:13.293,  -1, -751147,  10, -751147,   1, -751147
8, 07-31 16:41:13.304,  -1, -417304,  10, -417304,   0, -417304
9, 07-31 16:41:13.315,  -1, -500764,  10, -500764,   1, -500764
10, 07-31 16:41:13.326,  -1, -166921,   9, -166921,   1, -166921
11, 07-31 16:41:13.338,  -3,  -44789,   9,  -44789,   1,  -44789
12, 07-31 16:41:13.349,  -1, -542495,   9, -542495,   1, -542495
13, 07-31 16:41:13.360,  -2,  -43260,  10,  -43260,   1,  -43260
14, 07-31 16:41:13.371,  -1, -751147,  10, -751147,   1, -751147
15, 07-31 16:41:13.382,  -1, -292111,  10, -292111,   0, -292111
16, 07-31 16:41:13.393,  -1, -292111,  10, -292111,   1, -292111
17, 07-31 16:41:13.404,  -1, -834608,  10, -834608,   2, -834608
18, 07-31 16:41:13.415,  -1, -584225,  10, -584225,   1, -584225
19, 07-31 16:41:13.426,  -1, -542495,  10, -542495,   0, -542495
20, 07-31 16:41:13.437,  -1, -333842,  10, -333842,   1, -333842
21, 07-31 16:41:13.448,  -1, -417304,  10, -417304,   1, -417304
22, 07-31 16:41:13.459,  -1, -417304,  10, -417304,   1, -417304
23, 07-31 16:41:13.470,  -1, -166921,  10, -166921,   1, -166921
24, 07-31 16:41:13.481,  -1,       0,   8,       0,   1,       0
25, 07-31 16:41:13.492,  -1, -333842,  10, -333842,   1, -333842
26, 07-31 16:41:13.504,  -1, -417304,  10, -417304,   1, -417304
27, 07-31 16:41:13.515,   0, -916540,  10, -916540,   1, -916540
28, 07-31 16:41:13.526,  -1, -166921,  10, -166921,   1, -166921
29, 07-31 16:41:13.537,  -1,  -83460,  10,  -83460,   1,  -83460
30, 07-31 16:41:13.548,  -1, -542495,  10, -542495,   1, -542495
31, 07-31 16:41:13.559,  -1, -751147,   9, -751147,   1, -751147
32, 07-31 16:41:13.570,  -1, -584225,  10, -584225,   0, -584225
33, 07-31 16:41:13.581,  -1, -667686,  10, -667686,   0, -667686
34, 07-31 16:41:13.592,  -2, -460563,  10, -460563,   0, -460563
35, 07-31 16:41:13.603,  -1, -751147,  10, -751147,   1, -751147
36, 07-31 16:41:13.614,  -1, -166921,  10, -166921,   1, -166921
37, 07-31 16:41:13.625,  -1, -542495,  10, -542495,   0, -542495
38, 07-31 16:41:13.636,  -2,  -43260,  10,  -43260,   0,  -43260
39, 07-31 16:41:13.647,  -2, -627486,  10, -627486,   1, -627486
