3796879, 03-27 22:03:15.009,0,681274,1,473844,8,906524
3796880, 03-27 22:03:15.020,0,806466,1,390383,9,323828
3796881, 03-27 22:03:15.032,0,-111603,1,348652,9,365559
3796882, 03-27 22:03:15.043,0,138779,1,682496,9,365559
3796883, 03-27 22:03:15.054,0,597814,1,473844,9,240367
3796884, 03-27 22:03:15.065,0,305701,1,223461,9,31715
3796885, 03-27 22:03:15.076,0,222240,1,348652,9,323828
3796886, 03-27 22:03:15.088,0,681274,1,473844,9,240367
3796887, 03-27 22:03:15.099,0,305701,0,555774,9,365559
3796888, 03-27 22:03:15.110,0,-445446,1,765957,9,490750
3796889, 03-27 22:03:15.121,0,-445446,1,14809,9,782863
3796890, 03-27 22:03:15.132,0,806466,1,265192,9,323828
3796891, 03-27 22:03:15.143,0,-278524,1,265192,9,490750
3796892, 03-27 22:03:15.155,0,389162,0,388853,9,31715
3796893, 03-27 22:03:15.166,0,514353,1,432113,8,739602
3796894, 03-27 22:03:15.177,0,556083,0,931348,8,238837
3796895, 03-27 22:03:15.188,0,806466,1,348652,9,282098
3796896, 03-27 22:03:15.199,0,806466,1,390383,9,282098
3796897, 03-27 22:03:15.210,0,472622,1,390383,9,365559
3796898, 03-27 22:03:15.222,0,55318,1,807687,9,615941
3796899, 03-27 22:03:15.233,0,681274,1,807687,9,365559
3796900, 03-27 22:03:15.244,0,723005,1,807687,9,240367
3796901, 03-27 22:03:15.255,0,-278524,1,348652,9,323828
3796902, 03-27 22:03:15.267,0,806466,1,390383,9,365559
3796903, 03-27 22:03:15.278,0,-111603,1,432113,8,155376
3796904, 03-27 22:03:15.289,0,764735,0,388853,9,73446
3796905, 03-27 22:03:15.300,0,55318,1,473844,9,240367
3796906, 03-27 22:03:15.312,0,263970,0,388853,9,73446
3796907, 03-27 22:03:15.323,0,347431,1,640765,9,615941
3796908, 03-27 22:03:15.334,0,-111603,1,432113,8,572681
3796909, 03-27 22:03:15.345,0,-278524,1,14809,9,156907
3796910, 03-27 22:03:15.356,0,430892,1,14809,8,238837
3796911, 03-27 22:03:15.368,0,222240,1,432113,8,572681
3796912, 03-27 22:03:15.379,0,597814,0,388853,9,31715
3796913, 03-27 22:03:15.390,0,-445446,1,765957,9,490750
3796914, 03-27 22:03:15.401,0,-445446,1,14809,9,407289
3796915, 03-27 22:03:15.412,0,806466,1,557305,9,615941
3796916, 03-27 22:03:15.424,0,806466,1,682496,9,407289
3796917, 03-27 22:03:15.435,0,-445446,1,348652,9,824593
3796918, 03-27 22:03:15.446,0,973387,1,348652,9,365559
3796919, 03-27 22:03:15.457,0,-445446,1,14809,9,824593
3796920, 03-27 22:03:15.468,0,514353,1,14809,9,407289
3796921, 03-27 22:03:15.480,0,389162,1,223461,9,365559
3796922, 03-27 22:03:15.491,0,-278524,1,348652,9,824593
3796923, 03-27 22:03:15.502,0,973387,1,557305,9,365559
3796924, 03-27 22:03:15.513,0,-111603,1,432113,8,238837
