87338, 04-01 11:03:24.000,1, 26040, 44653,100926,1404099968,105364,859864,113069,533187
87339, 04-01 11:03:25.000,1, 26060, 44658,100922,1409900032,105046,857794,112540,531715
87340, 04-01 11:03:26.000,1, 26080, 44655,100924,1398400000,105100,858136,112627,531961
87341, 04-01 11:03:27.000,1, 26090, 44648,100924,1408499968,104842,856459,112199,530769
87342, 04-01 11:03:28.000,1, 26100, 44660,100926,1391299968,105120,858261,112659,532055
87343, 04-01 11:03:29.000,1, 26110, 44660,100924,1404099968,104979,857343,112424,531403
87344, 04-01 11:03:30.000,1, 26140, 44670,100926,1399800064,104974,857307,112415,531380
87345, 04-01 11:03:31.000,1, 26150, 44688,100928,1391299968,105217,858884,112818,532505
87346, 04-01 11:03:32.000,1, 26160, 44666,100926,1407000064,104959,857204,112389,531311
87347, 04-01 11:03:33.000,1, 26180, 44669,100930,1409900032,104640,855124,111860,529832
87348, 04-01 11:03:34.000,1, 26190, 44659,100926,1402700032,104565,854634,111736,529485
87349, 04-01 11:03:35.000,1, 26210, 44687,100928,1399800064,104578,854712,111756,529542
87350, 04-01 11:03:36.000,1, 26220, 44649,100930,1394099968,104754,855856,112046,530360
87351, 04-01 11:03:37.000,1, 26230, 44677,100928,1399800064,104732,855711,112009,530259
87352, 04-01 11:03:38.000,1, 26240, 44641,100922,1398400000,104751,855827,112039,530344
87353, 04-01 11:03:39.000,1, 26250, 44637,100922,1407000064,104505,854228,111633,529207
87354, 04-01 11:03:40.000,1, 26260, 44599,100922,1402700032,104412,853615,111478,528773
87355, 04-01 11:03:41.000,1, 26280, 44595,100930,1395500032,104537,854425,111683,529351
87356, 04-01 11:03:42.000,1, 26290, 44587,100926,1398400000,104556,854544,111713,529439
87357, 04-01 11:03:43.000,1, 26310, 44565,100928,1401299968,104479,854041,111586,529083
87358, 04-01 11:03:44.000,1, 26310, 44533,100926,1396899968,104539,854428,111684,529361
87359, 04-01 11:03:45.000,1, 26320, 44505,100924,1399800064,104500,854173,111619,529182
87360, 04-01 11:03:46.000,1, 26340, 44496,100934,1392700032,104672,855289,111902,529979
87361, 04-01 11:03:47.000,1, 26350, 44465,100930,1399800064,104607,854860,111793,529675
87362, 04-01 11:03:48.000,1, 26350, 44441,100928,1405600000,104373,853338,111408,528593
87363, 04-01 11:03:49.000,1, 26360, 44422,100932,1391299968,104589,854737,111762,529593
87364, 04-01 11:03:50.000,1, 26380, 44368,100932,1401299968,104476,853996,111575,529067
87365, 04-01 11:03:51.000,1, 26390, 44344,100932,1401299968,104371,853316,111403,528584
87366, 04-01 11:03:52.000,1, 26400, 44310,100932,1396899968,104407,853541,111460,528747
87367, 04-01 11:03:53.000,1, 26420, 44274,100932,1399800064,104346,853142,111359,528465
87368, 04-01 11:03:54.000,1, 26430, 44262,100926,1391299968,104542,854412,111680,529372
87369, 04-01 11:03:55.000,1, 26440, 44238,100935,1389799936,104755,855795,112031,530360
87370, 04-01 11:03:56.000,1, 26450, 44178,100918,1392700032,104854,856433,112193,530817
87371, 04-01 11:03:57.000,1, 26450, 44117,100924,1394099968,104897,856707,112263,531014
87372, 04-01 11:03:58.000,1, 26450, 44061,100908,1395500032,104891,856665,112252,530987
87373, 04-01 11:03:59.000,1, 26450, 43987,100935,1385600000,105182,858555,112734,532335
87374, 04-01 11:04:00.000,1, 26470, 43941,100928,1402700032,104924,856872,112305,531138
87375, 04-01 11:04:01.000,1, 26470, 43897,100920,1392700032,104993,857320,112419,531460
87376, 04-01 11:04:02.000,1, 26480, 43824,100920,1389799936,105140,858271,112661,532140
87377, 04-01 11:04:03.000,1, 26480, 43768,100920,1381400064,105522,860747,113296,533906
87378, 04-01 11:04:04.000,1, 26490, 43703,100922,1378599936,105943,863478,113999,535854
87379, 04-01 11:04:05.000,1, 26500, 43688,100926,1396899968,105760,862288,113692,535009
87380, 04-01 11:04:06.000,1, 26500, 43657,100908,1398400000,105553,860941,113345,534051
87381, 04-01 11:04:07.000,1, 26500, 43589,100930,1385600000,105755,862250,113682,534986
87382, 04-01 11:04:08.000,1, 26510, 43565,100926,1388400000,105847,862846,113836,535413
87383, 04-01 11:04:09.000,1, 26500, 43478,100918,1398400000,105630,861431,113471,534407
87384, 04-01 11:04:10.000,1, 26510, 43454,100918,1405600000,105223,858784,112792,532524
87385, 04-01 11:04:11.000,1, 26520, 43408,100930,1394099968,105207,858671,112764,532445
87386, 04-01 11:04:12.000,1, 26530, 43388,100914,1392700032,105232,858835,112806,532565
87387, 04-01 11:04:13.000,1, 26520, 43359,100920,1384199936,105512,860650,113271,533860
87388, 04-01 11:04:14.000,1, 26530, 43347,100902,1394099968,105459,860299,113181,533612
87389, 04-01 11:04:15.000,1, 26540, 43325,100932,1387000064,105625,861376,113457,534382
87390, 04-01 11:04:16.000,1, 26540, 43319,100924,1389799936,105686,861766,113558,534662
87391, 04-01 11:04:17.000,1, 26550, 43321,100914,1396899968,105524,860715,113287,533916
87392, 04-01 11:04:18.000,1, 26560, 43287,100920,1389799936,105594,861166,113403,534239
87393, 04-01 11:04:19.000,1, 26560, 43281,100932,1387000064,105740,862108,113646,534912
87394, 04-01 11:04:20.000,1, 26570, 43271,100918,1392700032,105695,861811,113569,534703
87395, 04-01 11:04:21.000,1, 26580, 43249,100922,1391299968,105696,861814,113570,534708
87396, 04-01 11:04:22.000,1, 26580, 43249,100908,1389799936,105741,862105,113645,534917
87397, 04-01 11:04:23.000,1, 26580, 43219,100930,1384199936,105950,863459,113994,535884
87398, 04-01 11:04:24.000,1, 26600, 43219,100928,1384199936,106132,864635,114299,536725
87399, 04-01 11:04:25.000,1, 26570, 43204,100900,1402700032,105738,862075,113637,534903
87400, 04-01 11:04:26.000,1, 26600, 43205,100934,1399800064,105474,860354,113195,533679
87401, 04-01 11:04:27.000,1, 26600, 43176,100930,1381400064,105795,862437,113731,535165
87402, 04-01 11:04:28.000,1, 26610, 43176,100920,1389799936,105823,862614,113776,535294
87403, 04-01 11:04:29.000,1, 26600, 43187,100926,1389799936,105847,862765,113815,535404
87404, 04-01 11:04:30.000,1, 26600, 43187,100937,1381400064,106121,864545,114276,536674
87405, 04-01 11:04:31.000,1, 26620, 43194,100918,1391299968,106061,864152,114174,536396
87406, 04-01 11:04:32.000,1, 26610, 43187,100920,1401299968,105708,861853,113580,534761
87407, 04-01 11:04:33.000,1, 26620, 43187,100924,1380000000,106037,863987,114131,536284
87408, 04-01 11:04:34.000,1, 26620, 43199,100920,1378599936,106367,866128,114686,537811
87409, 04-01 11:04:35.000,1, 26630, 43259,100920,1389799936,106317,865796,114600,537577
87410, 04-01 11:04:36.000,1, 26640, 43270,100902,1381400064,106523,867131,114948,538530
87411, 04-01 11:04:37.000,1, 26640, 43282,100930,1392700032,106361,866080,114674,537784
87412, 04-01 11:04:38.000,1, 26640, 43320,100926,1395500032,106132,864587,114286,536722
87413, 04-01 11:04:39.000,1, 26650, 43328,100916,1398400000,105840,862688,113795,535372
87414, 04-01 11:04:40.000,1, 26660, 43326,100928,1381400064,106093,864326,114219,536541
87415, 04-01 11:04:41.000,1, 26660, 43294,100934,1387000064,106146,864664,114306,536784
87416, 04-01 11:04:42.000,1, 26670, 43304,100930,1377200000,106487,866876,114881,538362
87417, 04-01 11:04:43.000,1, 26670, 43292,100930,1385600000,106532,867163,114956,538569
87418, 04-01 11:04:44.000,1, 26680, 43272,100928,1384199936,106612,867679,115090,538939
87419, 04-01 11:04:45.000,1, 26690, 43282,100934,1380000000,106807,868943,115421,539842
87420, 04-01 11:04:46.000,1, 26700, 43244,100932,1382800000,106893,869501,115567,540241
87421, 04-01 11:04:47.000,1, 26710, 43244,100932,1382800000,106966,869971,115690,540579
87422, 04-01 11:04:48.000,1, 26720, 43248,100934,1384199936,106986,870094,115722,540669
87423, 04-01 11:04:49.000,1, 26730, 43272,100934,1387000064,106914,869626,115600,540338
87424, 04-01 11:04:50.000,1, 26730, 43290,100928,1373100032,107272,871944,116209,541992
87425, 04-01 11:04:51.000,1, 26740, 43305,100932,1389799936,107076,870671,115874,541087
87426, 04-01 11:04:52.000,1, 26750, 43335,100930,1381400064,107154,871174,116006,541447
87427, 04-01 11:04:53.000,1, 26750, 43317,100930,1375800064,107393,872718,116413,542550
87428, 04-01 11:04:54.000,1, 26760, 43333,100930,1380000000,107471,873221,116546,542910
87429, 04-01 11:04:55.000,1, 26770, 43345,100926,1381400064,107493,873363,116583,543014
87430, 04-01 11:04:56.000,1, 26780, 43347,100930,1391299968,107210,871522,116098,541705
87431, 04-01 11:04:57.000,1, 26780, 43347,100930,1389799936,107003,870174,115744,540747
87432, 04-01 11:04:58.000,1, 26800, 43366,100932,1381400064,107070,870606,115857,541057
87433, 04-01 11:04:59.000,1, 26810, 43378,100932,1378599936,107211,871516,116096,541707
87434, 04-01 11:05:00.000,1, 26810, 43390,100932,1381400064,107247,871744,116156,541872
87435, 04-01 11:05:01.000,1, 26810, 43378,100930,1384199936,107192,871383,116061,541617
87436, 04-01 11:05:02.000,1, 26820, 43396,100930,1382800000,107180,871306,116041,541564
87437, 04-01 11:05:03.000,1, 26830, 43386,100930,1381400064,107210,871496,116091,541702
87438, 04-01 11:05:04.000,1, 26850, 43399,100926,1392700032,106889,869407,115542,540216
87439, 04-01 11:05:05.000,1, 26850, 43423,100932,1388400000,106732,868382,115274,539488
87440, 04-01 11:05:06.000,1, 26860, 43423,100932,1385600000,106674,868005,115176,539222
87441, 04-01 11:05:07.000,1, 26870, 43463,100932,1394099968,106360,865964,114644,537770
87442, 04-01 11:05:08.000,1, 26880, 43463,100932,1391299968,106164,864687,114312,536863
87443, 04-01 11:05:09.000,1, 26890, 43481,100932,1375800064,106458,866589,114806,538220
87444, 04-01 11:05:10.000,1, 26890, 43481,100934,1380000000,106585,867415,115022,538810
87445, 04-01 11:05:11.000,1, 26910, 43508,100932,1384199936,106564,867269,114984,538709
87446, 04-01 11:05:12.000,1, 26910, 43532,100934,1389799936,106371,866012,114656,537816
87447, 04-01 11:05:13.000,1, 26920, 43554,100934,1388400000,106237,865142,114430,537198
87448, 04-01 11:05:14.000,1, 26930, 43572,100935,1384199936,106242,865167,114437,537219
87449, 04-01 11:05:15.000,1, 26940, 43587,100935,1380000000,106368,865983,114649,537802
87450, 04-01 11:05:16.000,1, 26940, 43612,100934,1382800000,106390,866122,114685,537903
87451, 04-01 11:05:17.000,1, 26950, 43612,100934,1381400064,106447,866492,114781,538170
87452, 04-01 11:05:18.000,1, 26960, 43637,100935,1373100032,106745,868424,115285,539548
87453, 04-01 11:05:19.000,1, 26970, 43655,100937,1384199936,106664,867892,115146,539171
87454, 04-01 11:05:20.000,1, 26970, 43661,100939,1381400064,106673,867946,115160,539212
87455, 04-01 11:05:21.000,1, 26980, 43677,100939,1371699968,106973,869887,115668,540597
87456, 04-01 11:05:22.000,1, 26980, 43633,100920,1380000000,106980,869929,115679,540630
87457, 04-01 11:05:23.000,1, 26970, 43556,100922,1377200000,107072,870523,115835,541055
87458, 04-01 11:05:24.000,1, 26980, 43498,100914,1374400000,107236,871586,116115,541815
87459, 04-01 11:05:25.000,1, 26980, 43430,100924,1384199936,107080,870571,115848,541094
87460, 04-01 11:05:26.000,1, 26990, 43357,100930,1373100032,107281,871873,116190,542024
87461, 04-01 11:05:27.000,1, 26990, 43295,100918,1373100032,107458,873018,116492,542842
87462, 04-01 11:05:28.000,1, 26990, 43202,100930,1368899968,107744,874869,116982,544162
87463, 04-01 11:05:29.000,1, 26980, 43147,100935,1380000000,107656,874295,116830,543756
87464, 04-01 11:05:30.000,1, 26980, 43067,100912,1392700032,107194,871290,116037,541617
87465, 04-01 11:05:31.000,1, 26990, 42994,100922,1375800064,107301,871980,116218,542111
87466, 04-01 11:05:32.000,1, 26990, 42975,100914,1389799936,106967,869813,115649,540570
87467, 04-01 11:05:33.000,1, 26980, 42907,100926,1384199936,106846,869020,115441,540007
87468, 04-01 11:05:34.000,1, 26990, 42883,100928,1373100032,107077,870519,115834,541077
87469, 04-01 11:05:35.000,1, 26990, 42840,100914,1367600000,107451,872944,116473,542807
87470, 04-01 11:05:36.000,1, 27000, 42818,100930,1374400000,107572,873724,116679,543365
87471, 04-01 11:05:37.000,1, 27010, 42824,100937,1380000000,107505,873282,116562,543053
87472, 04-01 11:05:38.000,1, 27010, 42824,100916,1380000000,107445,872889,116458,542775
87473, 04-01 11:05:39.000,1, 27000, 42806,100920,1382800000,107307,871989,116221,542136
87474, 04-01 11:05:40.000,1, 27000, 42800,100914,1391299968,106926,869517,115571,540377
87475, 04-01 11:05:41.000,1, 27010, 42800,100918,1373100032,107145,870932,115943,541388
87476, 04-01 11:05:42.000,1, 27000, 42806,100926,1382800000,107041,870252,115764,540905
87477, 04-01 11:05:43.000,1, 26990, 42785,100910,1384199936,106907,869381,115536,540287
87478, 04-01 11:05:44.000,1, 27000, 42782,100928,1378599936,106959,869716,115623,540529
87479, 04-01 11:05:45.000,1, 26990, 42773,100928,1377200000,107049,870297,115776,540944
87480, 04-01 11:05:46.000,1, 27010, 42776,100920,1373100032,107252,871609,116121,541881
87481, 04-01 11:05:47.000,1, 27010, 42763,100924,1373100032,107431,872766,116426,542708
87482, 04-01 11:05:48.000,1, 27010, 42788,100926,1367600000,107756,874875,116984,544213
87483, 04-01 11:05:49.000,1, 27010, 42794,100914,1375800064,107791,875094,117042,544371
87484, 04-01 11:05:50.000,1, 27010, 42812,100926,1373100032,107903,875820,117235,544890
87485, 04-01 11:05:51.000,1, 26990, 42822,100916,1384199936,107663,874256,116820,543779
87486, 04-01 11:05:52.000,1, 27000, 42806,100918,1384199936,107450,872870,116453,542793
87487, 04-01 11:05:53.000,1, 27000, 42824,100926,1380000000,107389,872473,116348,542513
87488, 04-01 11:05:54.000,1, 27020, 42800,100910,1375800064,107463,872947,116474,542853
87489, 04-01 11:05:55.000,1, 27010, 42788,100930,1375800064,107529,873373,116586,543159
87490, 04-01 11:05:56.000,1, 27000, 42788,100924,1381400064,107416,872634,116391,542635
87491, 04-01 11:05:57.000,1, 27000, 42806,100916,1385600000,107187,871145,115999,541576
87492, 04-01 11:05:58.000,1, 27000, 42770,100926,1371699968,107412,872602,116382,542616
87493, 04-01 11:05:59.000,1, 27010, 42782,100934,1378599936,107396,872499,116355,542545
87494, 04-01 11:06:00.000,1, 27010, 42776,100918,1381400064,107297,871851,116184,542086
87495, 04-01 11:06:01.000,1, 27010, 42776,100920,1378599936,107295,871835,116180,542077
87496, 04-01 11:06:02.000,1, 27010, 42794,100924,1384199936,107121,870700,115882,541270
87497, 04-01 11:06:03.000,1, 27020, 42800,100918,1375800064,107223,871358,116055,541741
87498, 04-01 11:06:04.000,1, 27010, 42800,100928,1380000000,107184,871103,115988,541562
87499, 04-01 11:06:05.000,1, 27020, 42806,100904,1385600000,106977,869755,115634,540604
87500, 04-01 11:06:06.000,1, 27020, 42832,100928,1381400064,106922,869391,115538,540347
87501, 04-01 11:06:07.000,1, 27010, 42838,100935,1371699968,107170,871000,115960,541496
87502, 04-01 11:06:08.000,1, 27010, 42812,100937,1370300032,107433,872705,116410,542713
87503, 04-01 11:06:09.000,1, 27020, 42832,100937,1380000000,107365,872260,116292,542398
87504, 04-01 11:06:10.000,1, 27020, 42818,100937,1377200000,107391,872421,116335,542515
87505, 04-01 11:06:11.000,1, 27020, 42800,100937,1382800000,107242,871454,116080,541829
87506, 04-01 11:06:12.000,1, 27020, 42812,100935,1388400000,106939,869484,115563,540427
87507, 04-01 11:06:13.000,1, 27030, 42800,100935,1384199936,106798,868566,115322,539775
87508, 04-01 11:06:14.000,1, 27030, 42788,100934,1388400000,106546,866928,114895,538611
87509, 04-01 11:06:15.000,1, 27040, 42818,100937,1375800064,106707,867969,115166,539355
87510, 04-01 11:06:16.000,1, 27040, 42812,100932,1380000000,106719,868043,115186,539410
87511, 04-01 11:06:17.000,1, 27050, 42800,100934,1385600000,106558,866992,114911,538663
87512, 04-01 11:06:18.000,1, 27050, 42818,100932,1373100032,106798,868543,115316,539771
87513, 04-01 11:06:19.000,1, 27060, 42824,100932,1384199936,106666,867685,115092,539162
87514, 04-01 11:06:20.000,1, 27060, 42830,100935,1374400000,106850,868875,115403,540012
87515, 04-01 11:06:21.000,1, 27080, 42863,100934,1378599936,106879,869062,115452,540147
