1, 07-31 16:44:13.263,  -1,       0,   9,       0,   0,       0
2, 07-31 16:44:13.265,  -2,  -84991,  10,  -84991,   1,  -84991
3, 07-31 16:44:13.276,  -2, -627486,   9, -627486,   0, -627486
4, 07-31 16:44:13.287,  -1, -500764,  10, -500764,   1, -500764
5, 07-31 16:44:13.298,  -1, -709417,   9, -709417,   2, -709417
6, 07-31 16:44:13.309,  -1, -500764,  10, -500764,   1, -500764
7, 07-31 16:44:13.320,  -3,  -44789,  11,  -44789,   1,  -44789
8, 07-31 16:44:13.331,  -1, -417304,  10, -417304,   1, -417304
9, 07-31 16:44:13.342,  -2, -627486,  10, -627486,   1, -627486
10, 07-31 16:44:13.353,  -1, -542495,   9, -542495,   1, -542495
11, 07-31 16:44:13.364,  -1, -959798,   8, -959798,   1, -959798
12, 07-31 16:44:13.375,  -1, -500764,  10, -500764,   1, -500764
13, 07-31 16:44:13.386,  -2, -460563,  10, -460563,   0, -460563
14, 07-31 16:44:13.397,  -2,  -84991,  10,  -84991,   1,  -84991
15, 07-31 16:44:13.408,  -1, -542495,  10, -542495,   1, -542495
16, 07-31 16:44:13.419,   0, -666157,   9, -666157,   0, -666157
17, 07-31 16:44:13.430,  -1,  -83460,  10,  -83460,   0,  -83460
18, 07-31 16:44:13.441,   0, -666157,  11, -666157,   1, -666157
19, 07-31 16:44:13.452,  -1, -166921,  10, -166921,   1, -166921
20, 07-31 16:44:13.463,   0, -666157,  10, -666157,   1, -666157
21, 07-31 16:44:13.474,   0, -415775,   9, -415775,   1, -415775
22, 07-31 16:44:13.485,  -1,  -41730,   9,  -41730,   1,  -41730
23, 07-31 16:44:13.497,  -1, -584225,  10, -584225,   1, -584225
24, 07-31 16:44:13.508,  -1, -417304,   9, -417304,   1, -417304
25, 07-31 16:44:13.519,   0, -874809,   9, -874809,   1, -874809
26, 07-31 16:44:13.530,  -1, -208652,  10, -208652,   0, -208652
27, 07-31 16:44:13.541,  -1, -166921,  10, -166921,   1, -166921
28, 07-31 16:44:13.552,  -1, -542495,  10, -542495,   0, -542495
29, 07-31 16:44:13.563,   0, -874809,  10, -874809,   1, -874809
30, 07-31 16:44:13.574,  -1, -417304,  10, -417304,   1, -417304
31, 07-31 16:44:13.585,  -1, -625956,   9, -625956,   0, -625956
32, 07-31 16:44:13.596,  -1, -375572,  10, -375572,   1, -375572
33, 07-31 16:44:13.607,  -1, -208652,  10, -208652,   1, -208652
34, 07-31 16:44:13.618,  -1, -417304,  11, -417304,   1, -417304
35, 07-31 16:44:13.629,  -1, -417304,  10, -417304,   1, -417304
36, 07-31 16:44:13.640,  -1, -166921,  10, -166921,   1, -166921
37, 07-31 16:44:13.652,  -1, -542495,  10, -542495,   1, -542495
38, 07-31 16:44:13.663,  -1, -584225,  10, -584225,   1, -584225
39, 07-31 16:44:13.674,   0, -457505,   9, -457505,   0, -457505
40, 07-31 16:44:13.685,  -2, -460563,  10, -460563,   1, -460563
41, 07-31 16:44:13.696,  -1, -166921,  10, -166921,   1, -166921
42, 07-31 16:44:13.707,  -1, -584225,  10, -584225,   1, -584225
43, 07-31 16:44:13.718,  -1, -417304,  10, -417304,   1, -417304
44, 07-31 16:44:13.729,  -1, -375572,  10, -375572,   1, -375572
45, 07-31 16:44:13.740,  -1,       0,  10,       0,   1,       0
46, 07-31 16:44:13.751,  -1, -584225,  10, -584225,   1, -584225
47, 07-31 16:44:13.762,  -1, -542495,  10, -542495,   0, -542495
48, 07-31 16:44:13.820,  -1,  -41730,  10,  -41730,   1,  -41730
49, 07-31 16:44:13.820,  -1,  -41730,  10,  -41730,   1,  -41730
50, 07-31 16:44:13.820,  -1,  -41730,  10,  -41730,   1,  -41730
51, 07-31 16:44:13.820,  -1,  -41730,  10,  -41730,   1,  -41730
