42371, 03-27 22:02:45.000,1, 29210, 16925,100054,1583600000, 86456,707178, 79981,282131
42372, 03-27 22:02:46.000,1, 29220, 16929,100054,1594700032, 86325,706433, 79846,281285
42373, 03-27 22:02:47.000,1, 29210, 16929,100055,1588199936, 86406,706888, 79928,281807
42374, 03-27 22:02:48.000,1, 29210, 16934,100054,1593699968, 86311,706350, 79831,281197
42375, 03-27 22:02:49.000,1, 29210, 16939,100054,1591900032, 86281,706176, 79799,281002
42376, 03-27 22:02:50.000,1, 29210, 16944,100054,1598400000, 86060,704915, 79571,279569
42377, 03-27 22:02:51.000,1, 29210, 16939,100054,1594700032, 85974,704428, 79484,279018
42378, 03-27 22:02:52.000,1, 29200, 16939,100054,1599299968, 85763,703226, 79267,277651
42379, 03-27 22:02:53.000,1, 29210, 16934,100054,1596499968, 85659,702632, 79161,276978
42380, 03-27 22:02:54.000,1, 29210, 16939,100054,1599299968, 85484,701633, 78981,275842
42381, 03-27 22:02:55.000,1, 29210, 16925,100054,1592800000, 85524,701862, 79022,276107
42382, 03-27 22:02:56.000,1, 29210, 16934,100054,1597500032, 85419,701259, 78915,275423
42383, 03-27 22:02:57.000,1, 29210, 16934,100052,1594700032, 85409,701201, 78904,275361
42384, 03-27 22:02:58.000,1, 29210, 16954,100052,1601200000, 85204,700034, 78696,274034
42385, 03-27 22:02:59.000,1, 29210, 16944,100052,1599299968, 85080,699331, 78570,273237
42386, 03-27 22:03:00.000,1, 29210, 16939,100054,1599299968, 84972,698712, 78460,272535
42387, 03-27 22:03:01.000,1, 29220, 16944,100054,1598400000, 84901,698309, 78388,272079
42388, 03-27 22:03:02.000,1, 29210, 16949,100054,1592800000, 85006,698902, 78494,272759
42389, 03-27 22:03:03.000,1, 29210, 16954,100052,1595600000, 85015,698947, 78502,272814
42390, 03-27 22:03:04.000,1, 29210, 16954,100052,1605900032, 84715,697242, 78199,270874
42391, 03-27 22:03:05.000,1, 29210, 16964,100052,1596499968, 84728,697316, 78212,270962
42392, 03-27 22:03:06.000,1, 29210, 16984,100052,1602099968, 84571,696420, 78053,269944
42393, 03-27 22:03:07.000,1, 29200, 17044,100050,1599299968, 84509,696068, 77991,269547
42394, 03-27 22:03:08.000,1, 29210, 17148,100052,1595600000, 84552,696310, 78034,269826
42395, 03-27 22:03:09.000,1, 29210, 17278,100052,1594700032, 84602,696587, 78083,270146
42396, 03-27 22:03:10.000,1, 29200, 17418,100048,1597500032, 84543,696252, 78024,269767
42397, 03-27 22:03:11.000,1, 29210, 17543,100052,1599299968, 84418,695543, 77898,268962
42398, 03-27 22:03:12.000,1, 29210, 17658,100052,1584499968, 84734,697332, 78215,271006
42399, 03-27 22:03:13.000,1, 29200, 17789,100050,1583600000, 85018,698944, 78501,272847
42400, 03-27 22:03:14.000,1, 29210, 17890,100050,1596499968, 84861,698051, 78343,271833
42401, 03-27 22:03:15.000,1, 29220, 17995,100050,1582599936, 85119,699511, 78602,273501
42402, 03-27 22:03:16.000,1, 29210, 18086,100050,1583600000, 85296,700517, 78782,274652
42403, 03-27 22:03:17.000,1, 29220, 18176,100050,1601200000, 84903,698280, 78383,272105
42404, 03-27 22:03:18.000,1, 29210, 18251,100050,1583600000, 85064,699192, 78546,273148
42405, 03-27 22:03:19.000,1, 29210, 18302,100050,1581699968, 85245,700221, 78729,274324
42406, 03-27 22:03:20.000,1, 29220, 18353,100050,1583600000, 85328,700688, 78812,274861
42407, 03-27 22:03:21.000,1, 29220, 18392,100050,1590899968, 85164,699753, 78646,273799
42408, 03-27 22:03:22.000,1, 29220, 18423,100050,1596499968, 84834,697877, 78312,271664
42409, 03-27 22:03:23.000,1, 29230, 18444,100052,1586300032, 84832,697864, 78309,271653
42410, 03-27 22:03:24.000,1, 29220, 18448,100050,1596499968, 84510,696036, 77985,269572
42411, 03-27 22:03:25.000,1, 29230, 18449,100054,1577200000, 84793,697638, 78269,271403
42412, 03-27 22:03:26.000,1, 29230, 18454,100050,1585400064, 84780,697561, 78256,271318
42413, 03-27 22:03:27.000,1, 29220, 18438,100050,1589100032, 84647,696803, 78121,270458
42414, 03-27 22:03:28.000,1, 29230, 18424,100050,1579000064, 84821,697790, 78296,271587
42415, 03-27 22:03:29.000,1, 29230, 18414,100050,1588199936, 84685,697019, 78160,270712
42416, 03-27 22:03:30.000,1, 29240, 18363,100050,1595600000, 84336,695030, 77808,268448
42417, 03-27 22:03:31.000,1, 29250, 18350,100052,1584499968, 84349,695104, 77821,268536
42418, 03-27 22:03:32.000,1, 29240, 18313,100050,1590000000, 84188,694188, 77659,267496
42419, 03-27 22:03:33.000,1, 29240, 18303,100048,1591900032, 83980,693005, 77451,266151
42420, 03-27 22:03:34.000,1, 29240, 18283,100050,1586300032, 83956,692867, 77427,265997
42421, 03-27 22:03:35.000,1, 29250, 18260,100050,1587200000, 83899,692541, 77370,265629
42422, 03-27 22:03:36.000,1, 29250, 18235,100050,1592800000, 83673,691251, 77144,264163
42423, 03-27 22:03:37.000,1, 29250, 18199,100052,1588199936, 83606,690868, 77077,263729
42424, 03-27 22:03:38.000,1, 29260, 18170,100050,1590899968, 83458,690029, 76931,262777
42425, 03-27 22:03:39.000,1, 29260, 18124,100048,1590899968, 83324,689265, 76797,261910
42426, 03-27 22:03:40.000,1, 29260, 18093,100050,1579000064, 83561,690607, 77031,263442
42427, 03-27 22:03:41.000,1, 29260, 18069,100050,1594700032, 83290,689069, 76763,261693
42428, 03-27 22:03:42.000,1, 29270, 18030,100054,1592800000, 83105,688014, 76580,260495
42429, 03-27 22:03:43.000,1, 29260, 18003,100050,1598400000, 82770,686112, 76250,258330
42430, 03-27 22:03:44.000,1, 29270, 17969,100052,1607800064, 82191,682820, 75683,254582
42431, 03-27 22:03:45.000,1, 29270, 17934,100050,1586300032, 82322,683559, 75810,255427
42432, 03-27 22:03:46.000,1, 29280, 17914,100048,1586300032, 82433,684187, 75918,256147
42433, 03-27 22:03:47.000,1, 29280, 17888,100050,1582599936, 82639,685358, 76120,257485
42434, 03-27 22:03:48.000,1, 29280, 17864,100048,1600300032, 82287,683356, 75775,255206
42435, 03-27 22:03:49.000,1, 29290, 17883,100046,1594700032, 82137,682501, 75628,254236
42436, 03-27 22:03:50.000,1, 29300, 17858,100050,1586300032, 82253,683159, 75741,254989
42437, 03-27 22:03:51.000,1, 29290, 17863,100050,1594700032, 82099,682282, 75591,253993
42438, 03-27 22:03:52.000,1, 29290, 17838,100048,1582599936, 82325,683565, 75811,255460
42439, 03-27 22:03:53.000,1, 29300, 17819,100046,1608700032, 81739,680235, 75241,251667
42440, 03-27 22:03:54.000,1, 29300, 17793,100044,1599299968, 81501,678881, 75010,250127
42441, 03-27 22:03:55.000,1, 29310, 17768,100050,1583600000, 81761,680357, 75262,251814
42442, 03-27 22:03:56.000,1, 29310, 17734,100048,1587200000, 81882,681037, 75378,252593
42443, 03-27 22:03:57.000,1, 29320, 17720,100050,1596499968, 81707,680041, 75208,251461
42444, 03-27 22:03:58.000,1, 29320, 17684,100048,1591900032, 81690,679945, 75191,251355
42445, 03-27 22:03:59.000,1, 29320, 17644,100046,1591900032, 81677,679870, 75179,251274
42446, 03-27 22:04:00.000,1, 29320, 17619,100046,1601200000, 81388,678226, 74899,249403
42447, 03-27 22:04:01.000,1, 29330, 17604,100050,1589100032, 81494,678829, 75001,250094
42448, 03-27 22:04:02.000,1, 29340, 17555,100048,1592800000, 81479,678742, 74987,249999
42449, 03-27 22:04:03.000,1, 29340, 17535,100050,1600300032, 81241,677388, 74757,248459
42450, 03-27 22:04:04.000,1, 29340, 17525,100048,1587200000, 81425,678429, 74933,249649
42451, 03-27 22:04:05.000,1, 29340, 17490,100048,1592800000, 81421,678407, 74930,249627
42452, 03-27 22:04:06.000,1, 29360, 17462,100048,1606899968, 80997,675995, 74521,246882
42453, 03-27 22:04:07.000,1, 29360, 17427,100050,1601200000, 80795,674847, 74327,245577
42454, 03-27 22:04:08.000,1, 29370, 17407,100050,1601200000, 80618,673841, 74158,244434
42455, 03-27 22:04:09.000,1, 29370, 17392,100052,1597500032, 80575,673590, 74116,244151
42456, 03-27 22:04:10.000,1, 29370, 17367,100052,1604000000, 80345,672284, 73897,242667
42457, 03-27 22:04:11.000,1, 29370, 17347,100050,1598400000, 80312,672094, 73865,242453
42458, 03-27 22:04:12.000,1, 29380, 17348,100048,1601200000, 80198,671446, 73756,241718
42459, 03-27 22:04:13.000,1, 29380, 17308,100044,1607800064, 79905,669782, 73478,239826
42460, 03-27 22:04:14.000,1, 29380, 17308,100044,1603100032, 79789,669118, 73368,239072
42461, 03-27 22:04:15.000,1, 29390, 17303,100044,1594700032, 79937,669960, 73508,240035
42462, 03-27 22:04:16.000,1, 29400, 17294,100050,1620199936, 79309,666557, 72916,235974
42463, 03-27 22:04:17.000,1, 29400, 17304,100042,1623100032, 78670,665104, 72318,231836
42464, 03-27 22:04:18.000,1, 29390, 17303,100044,1604000000, 78675,665114, 72322,231869
42465, 03-27 22:04:19.000,1, 29410, 17289,100046,1610599936, 78482,664676, 72142,230623
42466, 03-27 22:04:20.000,1, 29390, 17268,100044,1613500032, 78231,664106, 71910,229002
42467, 03-27 22:04:21.000,1, 29410, 17254,100044,1602099968, 78350,664374, 72019,229771
42468, 03-27 22:04:22.000,1, 29410, 17289,100048,1607800064, 78282,664219, 71956,229333
42469, 03-27 22:04:23.000,1, 29420, 17304,100048,1600300032, 78444,664587, 72106,230384
42470, 03-27 22:04:24.000,1, 29430, 17340,100050,1604999936, 78442,664582, 72104,230373
42471, 03-27 22:04:25.000,1, 29430, 17355,100050,1604000000, 78468,664640, 72128,230542
42472, 03-27 22:04:26.000,1, 29430, 17385,100048,1611600000, 78261,664170, 71936,229208
42473, 03-27 22:04:27.000,1, 29430, 17410,100048,1599299968, 78443,664583, 72105,230388
42474, 03-27 22:04:28.000,1, 29450, 17431,100050,1604000000, 78457,664614, 72117,230480
42475, 03-27 22:04:29.000,1, 29440, 17451,100036,1618300032, 78043,663672, 71733,227801
42476, 03-27 22:04:30.000,1, 29450, 17486,100048,1607800064, 77983,663534, 71677,227411
42477, 03-27 22:04:31.000,1, 29450, 17501,100048,1626000000, 77388,662183, 71130,223563
42478, 03-27 22:04:32.000,1, 29450, 17535,100044,1603100032, 77536,662519, 71266,224526
42479, 03-27 22:04:33.000,1, 29460, 17535,100044,1615399936, 77297,661976, 71047,222982
42480, 03-27 22:04:34.000,1, 29470, 17547,100044,1605900032, 77365,662130, 71109,223424
42481, 03-27 22:04:35.000,1, 29470, 17532,100042,1605900032, 77424,662261, 71162,223802
42482, 03-27 22:04:36.000,1, 29470, 17532,100044,1617299968, 77134,661604, 70897,221931
42483, 03-27 22:04:37.000,1, 29480, 17517,100042,1604000000, 77273,661917, 71023,222828
42484, 03-27 22:04:38.000,1, 29480, 17527,100042,1607800064, 77278,661929, 71028,222865
42485, 03-27 22:04:39.000,1, 29490, 17533,100044,1624099968, 76796,660834, 70588,219748
42486, 03-27 22:04:40.000,1, 29490, 17502,100042,1604000000, 76968,661222, 70744,220858
42487, 03-27 22:04:41.000,1, 29490, 17513,100042,1604999936, 77086,661490, 70852,221626
42488, 03-27 22:04:42.000,1, 29490, 17518,100046,1602099968, 77275,661917, 71023,222847
42489, 03-27 22:04:43.000,1, 29510, 17519,100048,1604000000, 77380,662156, 71119,223530
42490, 03-27 22:04:44.000,1, 29500, 17548,100042,1617299968, 77072,661457, 70838,221542
42491, 03-27 22:04:45.000,1, 29490, 17553,100048,1599299968, 77335,662053, 71078,223243
42492, 03-27 22:04:46.000,1, 29500, 17538,100044,1609699968, 77255,661869, 71004,222725
42493, 03-27 22:04:47.000,1, 29510, 17514,100050,1608700032, 77213,661773, 70965,222453
42494, 03-27 22:04:48.000,1, 29510, 17489,100048,1612499968, 77062,661431, 70828,221483
42495, 03-27 22:04:49.000,1, 29520, 17470,100042,1608700032, 77043,661386, 70810,221358
42496, 03-27 22:04:50.000,1, 29520, 17415,100048,1601200000, 77253,661862, 71001,222718
42497, 03-27 22:04:51.000,1, 29510, 17404,100048,1602099968, 77413,662224, 71147,223754
42498, 03-27 22:04:52.000,1, 29530, 17420,100050,1603100032, 77519,662464, 71244,224442
42499, 03-27 22:04:53.000,1, 29530, 17409,100048,1614499968, 77273,661904, 71018,222850
42500, 03-27 22:04:54.000,1, 29540, 17406,100048,1612499968, 77113,661542, 70872,221821
42501, 03-27 22:04:55.000,1, 29550, 17401,100052,1604000000, 77223,661791, 70972,222534
42502, 03-27 22:04:56.000,1, 29550, 17371,100052,1615399936, 76984,661247, 70754,220987
42503, 03-27 22:04:57.000,1, 29550, 17381,100050,1610599936, 76913,661084, 70689,220527
42504, 03-27 22:04:58.000,1, 29550, 17371,100050,1614499968, 76734,660678, 70526,219373
42505, 03-27 22:04:59.000,1, 29560, 17372,100048,1594700032, 77166,661658, 70919,222170
42506, 03-27 22:05:00.000,1, 29560, 17352,100046,1596499968, 77495,662403, 71219,224298
42507, 03-27 22:05:01.000,1, 29560, 17352,100048,1615399936, 77219,661777, 70967,222516
42508, 03-27 22:05:02.000,1, 29580, 17334,100054,1597500032, 77509,662434, 71232,224394
42509, 03-27 22:05:03.000,1, 29580, 17344,100054,1601200000, 77653,662759, 71363,225324
42510, 03-27 22:05:04.000,1, 29580, 17334,100054,1611600000, 77468,662340, 71194,224133
42511, 03-27 22:05:05.000,1, 29580, 17324,100054,1604000000, 77534,662487, 71253,224555
42512, 03-27 22:05:06.000,1, 29590, 17314,100057,1600300032, 77701,662866, 71406,225640
42513, 03-27 22:05:07.000,1, 29590, 17309,100055,1612499968, 77484,662372, 71207,224236
42514, 03-27 22:05:08.000,1, 29590, 17309,100054,1595600000, 77797,663083, 71494,226264
42515, 03-27 22:05:09.000,1, 29600, 17291,100052,1599299968, 77963,663460, 71647,227341
42516, 03-27 22:05:10.000,1, 29610, 17298,100054,1604000000, 77966,663466, 71649,227363
42517, 03-27 22:05:11.000,1, 29610, 17303,100054,1599299968, 78109,663788, 71781,228286
42518, 03-27 22:05:12.000,1, 29620, 17308,100052,1608700032, 77951,663430, 71635,227268
42519, 03-27 22:05:13.000,1, 29630, 17300,100052,1607800064, 77837,663171, 71530,226533
42520, 03-27 22:05:14.000,1, 29630, 17295,100054,1614499968, 77537,662488, 71254,224592
42521, 03-27 22:05:15.000,1, 29630, 17305,100054,1614499968, 77271,661884, 71010,222872
42522, 03-27 22:05:16.000,1, 29630, 17315,100052,1604000000, 77347,662056, 71079,223368
42523, 03-27 22:05:17.000,1, 29640, 17295,100054,1600300032, 77525,662460, 71242,224522
42524, 03-27 22:05:18.000,1, 29640, 17310,100050,1601200000, 77652,662748, 71358,225346
42525, 03-27 22:05:19.000,1, 29650, 17336,100052,1610599936, 77479,662354, 71199,224228
42526, 03-27 22:05:20.000,1, 29650, 17361,100046,1611600000, 77293,661930, 71028,223023
42527, 03-27 22:05:21.000,1, 29660, 17351,100044,1602099968, 77410,662196, 71135,223784
42528, 03-27 22:05:22.000,1, 29660, 17386,100044,1610599936, 77255,661844, 70994,222784
42529, 03-27 22:05:23.000,1, 29650, 17377,100044,1607800064, 77201,661720, 70944,222435
42530, 03-27 22:05:24.000,1, 29650, 17361,100046,1606899968, 77181,661673, 70925,222306
42531, 03-27 22:05:25.000,1, 29650, 17341,100048,1610599936, 77053,661382, 70808,221479
42532, 03-27 22:05:26.000,1, 29670, 17303,100050,1609699968, 76967,661187, 70730,220928
42533, 03-27 22:05:27.000,1, 29670, 17292,100048,1620199936, 76580,660308, 70378,218425
42534, 03-27 22:05:28.000,1, 29680, 17249,100048,1608700032, 76583,660313, 70380,218444
42535, 03-27 22:05:29.000,1, 29680, 17229,100046,1597500032, 76923,661083, 70688,220641
42536, 03-27 22:05:30.000,1, 29680, 17203,100046,1628899968, 76290,659646, 70115,216551
42537, 03-27 22:05:31.000,1, 29690, 17179,100050,1615399936, 76132,659288, 69972,215533
42538, 03-27 22:05:32.000,1, 29690, 17155,100048,1600300032, 76447,660001, 70256,217569
42539, 03-27 22:05:33.000,1, 29700, 17150,100046,1617299968, 76217,659478, 70048,216084
42540, 03-27 22:05:34.000,1, 29700, 17134,100036,1610599936, 76216,659475, 70047,216077
42541, 03-27 22:05:35.000,1, 29690, 17150,100048,1621200000, 75899,658755, 69761,214030
42542, 03-27 22:05:36.000,1, 29700, 17139,100048,1621200000, 75620,658122, 69511,212229
42543, 03-27 22:05:37.000,1, 29700, 17145,100046,1617299968, 75489,657823, 69394,211380
42544, 03-27 22:05:38.000,1, 29700, 17170,100048,1623100032, 75199,657165, 69135,209509
42545, 03-27 22:05:39.000,1, 29710, 17175,100038,1608700032, 75371,657554, 69288,210623
42546, 03-27 22:05:40.000,1, 29700, 17184,100048,1620199936, 75179,657118, 69117,209384
42547, 03-27 22:05:41.000,1, 29710, 17194,100048,1599299968, 75633,658146, 69521,212317
42548, 03-27 22:05:42.000,1, 29720, 17216,100048,1614499968, 75574,658012, 69468,211939
42549, 03-27 22:05:43.000,1, 29730, 17240,100052,1613500032, 75548,657952, 69444,211770
42550, 03-27 22:05:44.000,1, 29730, 17230,100050,1612499968, 75554,657966, 69450,211814
42551, 03-27 22:05:45.000,1, 29730, 17256,100052,1611600000, 75584,658032, 69476,212005
42552, 03-27 22:05:46.000,1, 29730, 17295,100052,1615399936, 75491,657820, 69393,211406
42553, 03-27 22:05:47.000,1, 29730, 17365,100044,1609699968, 75570,657998, 69463,211917
42554, 03-27 22:05:48.000,1, 29740, 17433,100044,1604999936, 75770,658451, 69641,213210
42555, 03-27 22:05:49.000,1, 29760, 17464,100046,1613500032, 75684,658255, 69564,212655
42556, 03-27 22:05:50.000,1, 29750, 17518,100048,1598400000, 76052,659088, 69893,215033
42557, 03-27 22:05:51.000,1, 29760, 17554,100046,1604999936, 76170,659355, 69999,215798
42558, 03-27 22:05:52.000,1, 29760, 17574,100048,1599299968, 76438,659962, 70240,217532
42559, 03-27 22:05:53.000,1, 29770, 17587,100050,1613500032, 76242,659517, 70063,216268
