3904922, 03-27 22:02:45.005,0,-445446,0,722696,10,283628
3904923, 03-27 22:02:45.016,0,-278524,0,722696,9,949785
3904924, 03-27 22:02:45.027,0,13588,0,764427,9,782863
3904925, 03-27 22:02:45.038,0,-445446,0,722696,10,33245
3904926, 03-27 22:02:45.049,0,-278524,0,430583,9,449019
3904927, 03-27 22:02:45.060,0,97049,0,-237103,9,449019
3904928, 03-27 22:02:45.071,0,-570637,0,472314,9,490750
3904929, 03-27 22:02:45.082,0,97049,1,98270,9,615941
3904930, 03-27 22:02:45.093,0,-111603,1,56540,10,33245
3904931, 03-27 22:02:45.103,0,13588,0,680966,9,949785
3904932, 03-27 22:02:45.114,0,-111603,0,555774,9,741132
3904933, 03-27 22:02:45.125,0,263970,0,764427,9,407289
3904934, 03-27 22:02:45.136,0,97049,0,430583,10,158437
3904935, 03-27 22:02:45.147,0,-195063,0,555774,9,574211
3904936, 03-27 22:02:45.158,0,-195063,0,806157,9,908054
3904937, 03-27 22:02:45.169,0,430892,0,430583,10,158437
3904938, 03-27 22:02:45.180,0,97049,1,98270,10,74976
3904939, 03-27 22:02:45.191,0,-195063,0,889618,9,908054
3904940, 03-27 22:02:45.202,0,-111603,0,722696,10,367089
3904941, 03-27 22:02:45.213,0,-278524,1,56540,10,74976
3904942, 03-27 22:02:45.223,0,13588,0,764427,10,74976
3904943, 03-27 22:02:45.234,0,-278524,0,722696,9,741132
3904944, 03-27 22:02:45.245,0,97049,1,98270,10,116706
3904945, 03-27 22:02:45.256,0,472622,0,-28451,8,656141
3904946, 03-27 22:02:45.267,0,-779289,0,806157,9,657672
3904947, 03-27 22:02:45.278,0,472622,0,597505,10,408819
3904948, 03-27 22:02:45.289,0,13588,0,472314,10,784393
3904949, 03-27 22:02:45.300,0,55318,0,221931,11,118237
3904950, 03-27 22:02:45.311,0,-111603,0,430583,9,782863
3904951, 03-27 22:02:45.322,0,-570637,0,764427,9,574211
3904952, 03-27 22:02:45.333,0,13588,1,390383,10,283628
3904953, 03-27 22:02:45.343,0,138779,1,515574,9,407289
3904954, 03-27 22:02:45.354,-1,-363515,0,973079,9,156907
3904955, 03-27 22:02:45.365,0,180509,1,432113,9,908054
3904956, 03-27 22:02:45.376,0,639544,0,-362294,9,73446
3904957, 03-27 22:02:45.387,0,889927,0,-278833,9,657672
3904958, 03-27 22:02:45.398,-1,-29672,1,765957,10,784393
3904959, 03-27 22:02:45.409,-1,-530437,0,138470,7,946724
3904960, 03-27 22:02:45.420,-1,-29672,0,597505,8,739602
3904961, 03-27 22:02:45.431,0,514353,1,348652,9,156907
3904962, 03-27 22:02:45.442,0,889927,0,847887,10,659202
3904963, 03-27 22:02:45.453,0,-111603,0,-278833,11,285158
3904964, 03-27 22:02:45.464,0,-236794,0,388853,11,368619
3904965, 03-27 22:02:45.474,0,764735,1,306922,11,34776
3904966, 03-27 22:02:45.485,0,-28142,0,472314,10,867854
3904967, 03-27 22:02:45.496,0,263970,1,56540,10,617471
3904968, 03-27 22:02:45.507,0,263970,0,430583,9,449019
3904969, 03-27 22:02:45.518,0,-69872,1,98270,10,116706
3904970, 03-27 22:02:45.529,0,97049,0,430583,9,782863
3904971, 03-27 22:02:45.540,0,-904481,0,973079,10,116706
3904972, 03-27 22:02:45.551,0,-111603,0,722696,9,949785
3904973, 03-27 22:02:45.562,0,263970,1,98270,9,115176
3904974, 03-27 22:02:45.572,0,-111603,0,722696,9,741132
3904975, 03-27 22:02:45.583,0,-278524,1,56540,9,949785
3904976, 03-27 22:02:45.594,0,-445446,0,722696,10,74976
3904977, 03-27 22:02:45.605,0,55318,0,388853,9,949785
3904978, 03-27 22:02:45.616,0,97049,1,98270,9,282098
3904979, 03-27 22:02:45.627,0,-195063,0,639235,10,200167
3904980, 03-27 22:02:45.638,0,97049,1,98270,10,283628
3904981, 03-27 22:02:45.649,0,97049,1,98270,10,450550
3904982, 03-27 22:02:45.660,0,-111603,0,472314,10,241898
3904983, 03-27 22:02:45.671,0,263970,0,764427,10,33245
3904984, 03-27 22:02:45.682,0,-278524,1,432113,10,450550
3904985, 03-27 22:02:45.692,0,-111603,0,722696,10,74976
3904986, 03-27 22:02:45.703,0,97049,0,430583,9,282098
3904987, 03-27 22:02:45.714,0,-111603,0,555774,9,574211
3904988, 03-27 22:02:45.725,0,55318,0,722696,9,741132
3904989, 03-27 22:02:45.736,0,97049,1,98270,9,949785
3904990, 03-27 22:02:45.747,0,-528907,0,472314,9,824593
3904991, 03-27 22:02:45.758,0,13588,1,14809,10,283628
3904992, 03-27 22:02:45.769,0,-612368,1,56540,10,450550
3904993, 03-27 22:02:45.780,0,-278524,1,56540,10,33245
3904994, 03-27 22:02:45.791,0,-236794,0,472314,10,158437
3904995, 03-27 22:02:45.802,0,-111603,0,722696,10,33245
3904996, 03-27 22:02:45.812,0,13588,0,931348,10,283628
3904997, 03-27 22:02:45.823,0,55318,0,931348,9,949785
3904998, 03-27 22:02:45.834,0,-111603,0,722696,10,33245
3904999, 03-27 22:02:45.845,0,97049,0,764427,9,449019
3905000, 03-27 22:02:45.856,0,55318,0,722696,10,33245
3905001, 03-27 22:02:45.867,0,-278524,0,764427,9,449019
3905002, 03-27 22:02:45.878,0,-111603,0,555774,9,741132
3905003, 03-27 22:02:45.889,0,55318,0,388853,10,74976
3905004, 03-27 22:02:45.900,0,-904481,0,597505,9,782863
