4020153, 03-31 23:41:10.010,-6,-913661,-3,-909379,4,608290
4020154, 03-31 23:41:10.021,-7,-80583,-3,-575536,4,399638
4020155, 03-31 23:41:10.033,-5,-244444,-2,-740927,4,441368
4020156, 03-31 23:41:10.045,-5,-494827,-2,-949579,4,399638
4020157, 03-31 23:41:10.056,-6,-287705,-4,-201492,4,733481
4020158, 03-31 23:41:10.068,-5,-745209,-4,-451875,3,690221
4020159, 03-31 23:41:10.080,-6,-579818,-5,-369944,4,441368
4020160, 03-31 23:41:10.091,-7,-205774,-4,-994370,4,983864
4020161, 03-31 23:41:10.103,-6,-663278,-4,-76301,4,399638
4020162, 03-31 23:41:10.114,-6,-538087,-5,-620327,4,441368
4020163, 03-31 23:41:10.126,-6,-245974,-5,-244753,4,149255
4020164, 03-31 23:41:10.138,-6,-245974,-4,-243223,3,815412
4020165, 03-31 23:41:10.150,-6,-621548,-3,-992840,4,441368
4020166, 03-31 23:41:10.161,-6,-412896,-3,-658997,3,147725
4020167, 03-31 23:41:10.173,-7,-247504,-3,-867649,3,481569
4020168, 03-31 23:41:10.184,-7,-581348,-3,-867649,3,606760
4020169, 03-31 23:41:10.196,-6,-412896,-3,-492075,4,24064
4020170, 03-31 23:41:10.208,-7,-247504,-3,-533805,4,399638
4020171, 03-31 23:41:10.219,-6,-913661,-4,-243223,3,815412
4020172, 03-31 23:41:10.231,-6,-997122,-3,-575536,3,565029
4020173, 03-31 23:41:10.243,-6,-579818,-4,-118031,3,731951
4020174, 03-31 23:41:10.254,-6,-621548,-3,-408614,3,898873
4020175, 03-31 23:41:10.266,-7,-80583,-2,-907849,2,939073
4020176, 03-31 23:41:10.278,-6,-412896,-2,-114971,3,272917
4020177, 03-31 23:41:10.289,-6,-412896,-1,-238632,2,855612
4020178, 03-31 23:41:10.301,-7,-956922,0,-946519,3,690221
4020179, 03-31 23:41:10.313,-8,-916721,0,-237103,4,608290
4020180, 03-31 23:41:10.324,-9,-250565,0,-570946,3,272917
4020181, 03-31 23:41:10.336,-9,-292295,-1,-196901,3,231186
4020182, 03-31 23:41:10.348,-8,-332495,0,-946519,3,606760
4020183, 03-31 23:41:10.359,-8,-123843,0,-946519,3,565029
4020184, 03-31 23:41:10.371,-8,-249035,-1,-572475,2,772151
4020185, 03-31 23:41:10.383,-8,-123843,-1,-113441,3,898873
4020186, 03-31 23:41:10.394,-8,-123843,0,-946519,3,731951
4020187, 03-31 23:41:10.406,-8,-457687,-1,-447284,3,565029
4020188, 03-31 23:41:10.418,-8,-624608,-1,-447284,3,565029
4020189, 03-31 23:41:10.429,-8,-290765,-1,-572475,4,566560
4020190, 03-31 23:41:10.441,-8,-290765,-2,-907849,4,107525
4020191, 03-31 23:41:10.453,-7,-664809,-2,-907849,5,442899
4020192, 03-31 23:41:10.464,-7,-581348,-3,-617266,4,107525
4020193, 03-31 23:41:10.476,-6,-412896,-3,-450344,3,898873
4020194, 03-31 23:41:10.488,-6,-788470,-2,-615736,4,608290
4020195, 03-31 23:41:10.499,-7,-80583,-2,-240162,4,691751
4020196, 03-31 23:41:10.511,-7,-289235,-2,-949579,4,942134
4020197, 03-31 23:41:10.523,-6,-746739,-2,-991310,4,691751
4020198, 03-31 23:41:10.534,-6,-579818,-2,-407084,4,65795
4020199, 03-31 23:41:10.546,-6,-538087,-3,-199962,4,232716
4020200, 03-31 23:41:10.558,-7,-38852,-2,-866119,4,149255
4020201, 03-31 23:41:10.569,-7,-247504,-2,-907849,5,109055
4020202, 03-31 23:41:10.581,-6,-997122,-2,-907849,4,775212
4020203, 03-31 23:41:10.593,-7,-80583,-2,-949579,5,109055
4020204, 03-31 23:41:10.604,-6,-746739,-2,-907849,4,775212
4020205, 03-31 23:41:10.616,-6,-997122,-2,-907849,5,442899
4020206, 03-31 23:41:10.628,-7,-539617,-3,-533805,4,316177
4020207, 03-31 23:41:10.639,-8,-207304,-2,-949579,4,942134
4020208, 03-31 23:41:10.651,-7,-623078,-2,-281893,4,733481
4020209, 03-31 23:41:10.663,-7,-456157,-2,-615736,4,608290
4020210, 03-31 23:41:10.674,-7,-289235,-2,-281893,4,24064
4020211, 03-31 23:41:10.686,-7,-330965,-1,-71710,4,24064
4020212, 03-31 23:41:10.698,-7,-581348,-1,-572475,3,815412
4020213, 03-31 23:41:10.709,-7,-915191,-1,-572475,3,272917
4020214, 03-31 23:41:10.721,-8,-207304,0,-779598,3,731951
4020215, 03-31 23:41:10.733,-8,-415956,0,-237103,4,107525
4020216, 03-31 23:41:10.744,-8,-582878,0,-570946,3,773682
4020217, 03-31 23:41:10.756,-9,-292295,0,-404024,3,773682
4020218, 03-31 23:41:10.768,-9,-292295,0,-779598,2,813882
4020219, 03-31 23:41:10.779,-8,-582878,0,-195372,2,480038
4020220, 03-31 23:41:10.791,-8,-541148,0,55009,2,62734
4020221, 03-31 23:41:10.803,-8,-624608,0,-111911,2,229656
4020222, 03-31 23:41:10.814,-8,-916721,0,96740,3,439838
4020223, 03-31 23:41:10.826,-9,-542678,0,-237103,2,772151
4020224, 03-31 23:41:10.838,-9,-751330,0,-237103,2,772151
4020225, 03-31 23:41:10.849,-9,-751330,0,347122,2,438308
4020226, 03-31 23:41:10.861,-9,-918252,0,597505,1,812352
4020227, 03-31 23:41:10.873,-9,-667869,0,472314,2,62734
4020228, 03-31 23:41:10.884,-10,-1712,0,55009,2,21004
4020229, 03-31 23:41:10.896,-9,-626139,1,14809,1,144665
4020230, 03-31 23:41:10.908,-9,-793060,1,98270,1,520239
4020231, 03-31 23:41:10.919,-8,-958452,0,-70181,2,104465
4020232, 03-31 23:41:10.931,-9,-584408,0,-111911,2,21004
4020233, 03-31 23:41:10.943,-10,-85173,0,-612677,2,939073
4020234, 03-31 23:41:10.954,-9,-667869,0,680966,1,728891
4020235, 03-31 23:41:10.966,-9,-626139,0,-195372,1,728891
4020236, 03-31 23:41:10.978,-10,-252095,0,430583,2,855612
4020237, 03-31 23:41:10.989,-9,-83643,1,56540,1,728891
4020238, 03-31 23:41:11.001,-9,-584408,0,-278833,2,605230
4020239, 03-31 23:41:11.013,-8,-415956,0,-278833,2,104465
4020240, 03-31 23:41:11.024,-8,-40382,1,56540,2,104465
4020241, 03-31 23:41:11.036,-8,-958452,0,263661,1,561969
4020242, 03-31 23:41:11.048,-8,-874991,0,-153642,1,979273
4020243, 03-31 23:41:11.059,-9,-667869,1,599035,1,770621
4020244, 03-31 23:41:11.071,-7,-998652,1,599035,1,561969
4020245, 03-31 23:41:11.083,-9,-208834,0,680966,2,605230
4020246, 03-31 23:41:11.094,-9,-417487,1,473844,2,271386
